,Name,Count,Format,ID
0,Assassin's Trophy,tcg_redir?f=ST&c=2,ST,333732
1,Carnage Tyrant,4,ST,333732
2,Doom Whisperer,3,ST,333732
3,Duress,3,ST,333732
4,Find // Finality,3,ST,333732
5,Forest,8,ST,333732
6,Golgari Findbroker,2,ST,333732
7,"Izoni, Thousand-Eyed",1,ST,333732
8,Jadelight Ranger,4,ST,333732
9,Llanowar Elves,4,ST,333732
10,Memorial to Folly,2,ST,333732
11,Merfolk Branchwalker,4,ST,333732
12,Midnight Reaper,3,ST,333732
13,Overgrown Tomb,4,ST,333732
14,Phyrexian Scriptures,1,ST,333732
15,Ravenous Chupacabra,4,ST,333732
16,Reclamation Sage,1,ST,333732
17,Seekers' Squire,4,ST,333732
18,Swamp,5,ST,333732
19,The Eldest Reborn,2,ST,333732
20,The Immortal Sun,2,ST,333732
21,Vraska's Contempt,2,ST,333732
22,Wildgrowth Walker,3,ST,333732
23,Woodland Cemetery,4,ST,333732
