,Name,Count,Format,ID
0,Arguel's Blood Fast,tcg_redir?f=ST&c=1,ST,333737
1,Carnage Tyrant,2,ST,333737
2,Cast Down,1,ST,333737
3,Deathgorge Scavenger,2,ST,333737
4,Druid of the Cowl,3,ST,333737
5,Duress,4,ST,333737
6,Find // Finality,2,ST,333737
7,Forest,9,ST,333737
8,Golden Demise,2,ST,333737
9,Golgari Findbroker,2,ST,333737
10,Heartless Pillage,2,ST,333737
11,Jadelight Ranger,4,ST,333737
12,Llanowar Elves,4,ST,333737
13,Memorial to Folly,2,ST,333737
14,Merfolk Branchwalker,4,ST,333737
15,Midnight Reaper,2,ST,333737
16,Overgrown Tomb,4,ST,333737
17,Ravenous Chupacabra,3,ST,333737
18,Swamp,5,ST,333737
19,The Eldest Reborn,3,ST,333737
20,Vivien Reid,1,ST,333737
21,Vraska's Contempt,3,ST,333737
22,"Vraska, Golgari Queen",2,ST,333737
23,"Vraska, Relic Seeker",2,ST,333737
24,Wildgrowth Walker,2,ST,333737
25,Woodland Cemetery,4,ST,333737
