,Name,Count,Format,ID
0,Adanto Vanguard,tcg_redir?f=ST&c=4,ST,333731
1,"Aurelia, Exemplar of Justice",3,ST,333731
2,Banefire,2,ST,333731
3,Clifftop Retreat,4,ST,333731
4,Deafening Clarion,3,ST,333731
5,Disdainful Stroke,2,ST,333731
6,Glacial Fortress,4,ST,333731
7,History of Benalia,4,ST,333731
8,Ixalan's Binding,1,ST,333731
9,Justice Strike,2,ST,333731
10,Knight of Grace,4,ST,333731
11,Lava Coil,2,ST,333731
12,Lyra Dawnbringer,3,ST,333731
13,Mountain,1,ST,333731
14,Negate,2,ST,333731
15,Plains,5,ST,333731
16,Rekindling Phoenix,3,ST,333731
17,Sacred Foundry,4,ST,333731
18,Seal Away,2,ST,333731
19,Settle the Wreckage,2,ST,333731
20,"Shalai, Voice of Plenty",2,ST,333731
21,Steam Vents,4,ST,333731
22,Sulfur Falls,3,ST,333731
23,Syncopate,3,ST,333731
24,"Teferi, Hero of Dominaria",2,ST,333731
25,Tocatli Honor Guard,4,ST,333731
