,Name,Count,Format,ID
0,Arch of Orazca,tcg_redir?f=ST&c=2,ST,333735
1,Citywide Bust,1,ST,333735
2,Cleansing Nova,1,ST,333735
3,Conclave Tribunal,4,ST,333735
4,District Guide,2,ST,333735
5,"Emmara, Soul of the Accord",4,ST,333735
6,Flower // Flourish,4,ST,333735
7,Forest,4,ST,333735
8,History of Benalia,4,ST,333735
9,Knight of Autumn,2,ST,333735
10,Legion's Landing,4,ST,333735
11,Lyra Dawnbringer,2,ST,333735
12,March of the Multitudes,4,ST,333735
13,Plains,9,ST,333735
14,Remorseful Cleric,2,ST,333735
15,Saproling Migration,4,ST,333735
16,Seal Away,2,ST,333735
17,Settle the Wreckage,2,ST,333735
18,"Shalai, Voice of Plenty",2,ST,333735
19,Sorcerous Spyglass,1,ST,333735
20,Sunpetal Grove,4,ST,333735
21,Temple Garden,4,ST,333735
22,Trostani Discordant,2,ST,333735
23,Venerated Loxodon,4,ST,333735
24,Vivien Reid,1,ST,333735
