,Name,Count,Format,ID
0,Curious Obsession,tcg_redir?f=ST&c=4,ST,333736
1,Diamond Mare,4,ST,333736
2,Disdainful Stroke,2,ST,333736
3,Dive Down,3,ST,333736
4,Essence Scatter,2,ST,333736
5,Exclusion Mage,2,ST,333736
6,Island,21,ST,333736
7,"Jace, Cunning Castaway",2,ST,333736
8,Merfolk Trickster,4,ST,333736
9,Mist-Cloaked Herald,4,ST,333736
10,Negate,2,ST,333736
11,Opt,4,ST,333736
12,Siren Stormtamer,4,ST,333736
13,Sleep,3,ST,333736
14,Spell Pierce,2,ST,333736
15,Tempest Djinn,4,ST,333736
16,Warkite Marauder,4,ST,333736
17,Wizard's Retort,4,ST,333736
