,Name,Count,Format,ID
0,Assassin's Trophy,tcg_redir?f=ST&c=1,ST,333738
1,Carnage Tyrant,3,ST,333738
2,Cast Down,2,ST,333738
3,Deathgorge Scavenger,2,ST,333738
4,Duress,4,ST,333738
5,Elvish Rejuvenator,1,ST,333738
6,Find // Finality,3,ST,333738
7,Forest,8,ST,333738
8,Golden Demise,2,ST,333738
9,Golgari Findbroker,1,ST,333738
10,Ixalli's Diviner,2,ST,333738
11,Jadelight Ranger,4,ST,333738
12,Llanowar Elves,4,ST,333738
13,Memorial to Folly,2,ST,333738
14,Merfolk Branchwalker,4,ST,333738
15,Midnight Reaper,3,ST,333738
16,Overgrown Tomb,4,ST,333738
17,Plaguecrafter,1,ST,333738
18,Ravenous Chupacabra,3,ST,333738
19,Sentinel Totem,1,ST,333738
20,Swamp,5,ST,333738
21,The Eldest Reborn,1,ST,333738
22,Vivien Reid,3,ST,333738
23,Vraska's Contempt,2,ST,333738
24,"Vraska, Golgari Queen",1,ST,333738
25,Wildgrowth Walker,4,ST,333738
26,Woodland Cemetery,4,ST,333738
