,Name,Count,Format,ID
0,Chemister's Insight,tcg_redir?f=ST&c=3,ST,333733
1,Cleansing Nova,2,ST,333733
2,Clifftop Retreat,4,ST,333733
3,Deafening Clarion,4,ST,333733
4,Disdainful Stroke,3,ST,333733
5,Expansion // Explosion,3,ST,333733
6,Glacial Fortress,4,ST,333733
7,Ionize,4,ST,333733
8,Island,4,ST,333733
9,Ixalan's Binding,2,ST,333733
10,Legion Warboss,2,ST,333733
11,Lyra Dawnbringer,2,ST,333733
12,Mission Briefing,1,ST,333733
13,Negate,2,ST,333733
14,"Nezahal, Primal Tide",1,ST,333733
15,"Niv-Mizzet, Parun",2,ST,333733
16,Plains,3,ST,333733
17,Sacred Foundry,4,ST,333733
18,Seal Away,4,ST,333733
19,Search for Azcanta,2,ST,333733
20,Settle the Wreckage,3,ST,333733
21,Star of Extinction,2,ST,333733
22,Steam Vents,4,ST,333733
23,Sulfur Falls,4,ST,333733
24,Syncopate,2,ST,333733
25,"Teferi, Hero of Dominaria",4,ST,333733
